time	V(v2s)
Step Information: Cl=1µ  (Step: 1/9)
0.000000000000000e+00	5.013900e+00
9.999999960041972e-12	5.013904e+00
1.999999992008394e-11	5.013906e+00
3.999999984016789e-11	5.013908e+00
7.999999968033578e-11	5.013909e+00
1.599999993606716e-10	5.013909e+00
3.199999987213431e-10	5.013909e+00
6.399999974426862e-10	5.013911e+00
1.000000000000000e-09	5.013915e+00
1.036000000255732e-09	5.013909e+00
1.108000000767194e-09	5.013907e+00
1.252000001790120e-09	5.013909e+00
1.540000003835971e-09	5.013914e+00
2.116000007927673e-09	5.013924e+00
3.268000016111078e-09	5.013947e+00
5.572000032477887e-09	5.013998e+00
1.018000006521150e-08	5.014113e+00
1.939600013067874e-08	5.014339e+00
3.381636413927550e-08	5.014631e+00
5.182315717383889e-08	5.014872e+00
8.098840975946320e-08	5.015086e+00
1.160859064597567e-07	5.015224e+00
1.580499643617375e-07	5.015322e+00
2.198264548309084e-07	5.015426e+00
3.315234212604876e-07	5.015559e+00
5.549173541196462e-07	5.015715e+00
9.694448410200280e-07	5.015841e+00
1.550923072041491e-06	5.015891e+00
2.260528242681651e-06	5.015900e+00
2.941519014025347e-06	5.015900e+00
3.941519014025347e-06	5.015900e+00
4.941519014025347e-06	5.015900e+00
5.941519014025347e-06	5.015900e+00
6.941519014025347e-06	5.015900e+00
9.969415190140408e-04	5.015900e+00
9.995251521123251e-04	5.015900e+00
9.997183690109266e-04	5.015900e+00
9.998221718190560e-04	5.015900e+00
9.998231718190559e-04	5.015900e+00
9.998251718190557e-04	5.015900e+00
9.998291718190553e-04	5.015900e+00
9.998371718190546e-04	5.015900e+00
9.998531718190531e-04	5.015900e+00
9.998851718190501e-04	5.015900e+00
9.999370000000059e-04	5.015900e+00
9.999380000000058e-04	5.015900e+00
9.999400000000056e-04	5.015900e+00
9.999440000000052e-04	5.015900e+00
9.999520000000045e-04	5.015900e+00
9.999680000000030e-04	5.015900e+00
9.999690000000029e-04	5.015900e+00
9.999710000000027e-04	5.015900e+00
9.999750000000023e-04	5.015900e+00
9.999830000000016e-04	5.015900e+00
9.999890000000010e-04	5.015900e+00
9.999930000000007e-04	5.015900e+00
9.999940000000006e-04	5.015900e+00
9.999990000000001e-04	5.015900e+00
1.000000000000000e-03	5.015900e+00
1.000001000000000e-03	5.015901e+00
1.000001100000000e-03	5.015894e+00
1.000001300000000e-03	5.015890e+00
1.000001600000000e-03	5.015889e+00
1.000002000000000e-03	5.015885e+00
1.000002040000000e-03	5.015890e+00
1.000002120000000e-03	5.015893e+00
1.000002280000000e-03	5.015891e+00
1.000002600000000e-03	5.015885e+00
1.000003240000000e-03	5.015874e+00
1.000004520000000e-03	5.015848e+00
1.000007080000000e-03	5.015790e+00
1.000012200000000e-03	5.015662e+00
1.000022440000001e-03	5.015413e+00
1.000036204508515e-03	5.015145e+00
1.000055210712260e-03	5.014905e+00
1.000085306414123e-03	5.014695e+00
1.000120123351163e-03	5.014565e+00
1.000164039565140e-03	5.014466e+00
1.000227598268767e-03	5.014362e+00
1.000347564303339e-03	5.014225e+00
1.000583217932078e-03	5.014071e+00
1.001018114621158e-03	5.013950e+00
1.001575585537975e-03	5.013907e+00
1.002282071796487e-03	5.013900e+00
1.002966411561210e-03	5.013900e+00
1.003966411561210e-03	5.013900e+00
1.004966411561210e-03	5.013900e+00
1.005966411561210e-03	5.013900e+00
1.016966411561209e-03	5.013900e+00
1.967966411561132e-03	5.013900e+00
1.997966411561136e-03	5.013900e+00
1.999000000000000e-03	5.013900e+00
1.999201530633181e-03	5.013900e+00
1.999470238144090e-03	5.013900e+00
1.999471238144090e-03	5.013900e+00
1.999473238144090e-03	5.013900e+00
1.999477238144090e-03	5.013900e+00
1.999485238144090e-03	5.013900e+00
1.999501238144090e-03	5.013900e+00
1.999533238144090e-03	5.013900e+00
1.999725238144090e-03	5.013900e+00
1.999781523711820e-03	5.013900e+00
1.999856571135460e-03	5.013900e+00
1.999857571135460e-03	5.013900e+00
1.999859571135460e-03	5.013900e+00
1.999863571135460e-03	5.013900e+00
1.999871571135460e-03	5.013900e+00
1.999887571135460e-03	5.013900e+00
1.999936000000000e-03	5.013900e+00
