time	V(v2s)
Step Information: C1val=220p C3val=10p  (Step: 1/12)
0.000000000000000e+00	5.014324e+00
9.999999960041972e-12	5.014328e+00
1.999999992008394e-11	5.014331e+00
3.999999984016789e-11	5.014333e+00
7.999999968033578e-11	5.014334e+00
1.599999993606716e-10	5.014335e+00
3.199999987213431e-10	5.014335e+00
6.399999974426862e-10	5.014337e+00
1.000000000000000e-09	5.014338e+00
1.036000000255732e-09	5.014332e+00
1.108000000767194e-09	5.014328e+00
1.252000001790120e-09	5.014328e+00
1.540000003835971e-09	5.014329e+00
2.116000007927673e-09	5.014330e+00
3.268000016111078e-09	5.014332e+00
5.572000032477887e-09	5.014338e+00
1.018000006521150e-08	5.014354e+00
1.939600013067874e-08	5.014390e+00
3.472334755438462e-08	5.014458e+00
5.370404999811794e-08	5.014543e+00
8.518270923000632e-08	5.014678e+00
1.481400276937831e-07	5.014925e+00
2.740546646213366e-07	5.015323e+00
5.258839384764436e-07	5.015866e+00
7.561829160426302e-07	5.016144e+00
1.016956495150484e-06	5.016283e+00
1.275300942938021e-06	5.016338e+00
1.644393012934816e-06	5.016364e+00
2.095075676332018e-06	5.016370e+00
2.777661806075598e-06	5.016367e+00
3.777661806075598e-06	5.016360e+00
4.777661806075597e-06	5.016353e+00
5.777661806075597e-06	5.016348e+00
6.777661806075597e-06	5.016343e+00
7.777661806075598e-06	5.016339e+00
8.777661806075598e-06	5.016336e+00
9.777661806075599e-06	5.016334e+00
1.077766180607560e-05	5.016332e+00
1.177766180607560e-05	5.016331e+00
1.277766180607560e-05	5.016329e+00
1.377766180607560e-05	5.016328e+00
1.477766180607560e-05	5.016328e+00
1.577766180607560e-05	5.016327e+00
1.677766180607560e-05	5.016326e+00
1.777766180607560e-05	5.016326e+00
1.877766180607560e-05	5.016326e+00
1.977766180607560e-05	5.016325e+00
2.077766180607560e-05	5.016325e+00
2.177766180607560e-05	5.016325e+00
2.277766180607560e-05	5.016325e+00
2.377766180607561e-05	5.016325e+00
2.477766180607561e-05	5.016325e+00
2.577766180607561e-05	5.016325e+00
2.677766180607561e-05	5.016325e+00
2.777766180607561e-05	5.016325e+00
2.877766180607561e-05	5.016325e+00
2.977766180607561e-05	5.016325e+00
3.077766180607561e-05	5.016325e+00
