rl	V(v2s)	I(Rl)
1.000000000000000e-02	2.060388e-03	2.060388e-01
1.100000000000000e-01	2.293490e-02	2.084991e-01
2.100000000000000e-01	4.437390e-02	2.113043e-01
3.100000000000001e-01	6.648102e-02	2.144549e-01
4.100000000000000e-01	8.935093e-02	2.179291e-01
5.100000000000000e-01	1.130634e-01	2.216929e-01
6.100000000000000e-01	1.376839e-01	2.257113e-01
7.100000000000000e-01	1.632693e-01	2.299567e-01
8.099999999999999e-01	1.898742e-01	2.344126e-01
9.099999999999999e-01	2.175554e-01	2.390718e-01
1.010000000000000e+00	2.463746e-01	2.439353e-01
1.110000000000000e+00	2.763997e-01	2.490087e-01
1.210000000000000e+00	3.077053e-01	2.543019e-01
1.310000000000000e+00	3.403735e-01	2.598271e-01
1.410000000000000e+00	3.744942e-01	2.655987e-01
1.510000000000000e+00	4.101658e-01	2.716330e-01
1.610000000000001e+00	4.474964e-01	2.779481e-01
1.710000000000001e+00	4.866041e-01	2.845638e-01
1.810000000000001e+00	5.276189e-01	2.915021e-01
1.910000000000001e+00	5.706837e-01	2.987873e-01
2.010000000000001e+00	6.159562e-01	3.064459e-01
2.110000000000001e+00	6.636105e-01	3.145073e-01
2.210000000000001e+00	7.138396e-01	3.230043e-01
2.310000000000001e+00	7.668580e-01	3.319732e-01
2.410000000000001e+00	8.229047e-01	3.414542e-01
2.510000000000001e+00	8.822466e-01	3.514927e-01
2.610000000000001e+00	9.451832e-01	3.621392e-01
2.710000000000001e+00	1.012051e+00	3.734506e-01
2.810000000000001e+00	1.083231e+00	3.854914e-01
2.910000000000001e+00	1.159153e+00	3.983343e-01
3.010000000000002e+00	1.240307e+00	4.120622e-01
3.110000000000002e+00	1.327255e+00	4.267700e-01
3.210000000000002e+00	1.420638e+00	4.425662e-01
3.310000000000002e+00	1.521198e+00	4.595765e-01
3.410000000000002e+00	1.629797e+00	4.779462e-01
3.510000000000002e+00	1.747437e+00	4.978452e-01
3.610000000000002e+00	1.875296e+00	5.194725e-01
3.710000000000002e+00	2.014766e+00	5.430635e-01
3.810000000000002e+00	2.167502e+00	5.688983e-01
3.910000000000002e+00	2.335493e+00	5.973127e-01
4.010000000000002e+00	2.521140e+00	6.287133e-01
4.110000000000002e+00	2.727382e+00	6.635966e-01
4.210000000000002e+00	2.957825e+00	7.025713e-01
4.310000000000001e+00	3.205108e+00	7.436446e-01
4.410000000000001e+00	3.317508e+00	7.522694e-01
4.510000000000001e+00	3.317902e+00	7.356766e-01
4.610000000000000e+00	3.317904e+00	7.197190e-01
4.710000000000000e+00	3.317907e+00	7.044389e-01
4.810000000000000e+00	3.317910e+00	6.897942e-01
4.909999999999999e+00	3.317913e+00	6.757460e-01
