vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.200000000000000e+00	5.046338e+01
6.200300000000000e+00	5.046080e+01
6.200600000000001e+00	5.045823e+01
6.200900000000001e+00	5.045565e+01
6.201200000000001e+00	5.045308e+01
6.201500000000001e+00	5.045051e+01
6.201800000000001e+00	5.044794e+01
6.202100000000002e+00	5.044537e+01
6.202400000000002e+00	5.044279e+01
6.202700000000002e+00	5.044022e+01
6.203000000000002e+00	5.043765e+01
6.203300000000002e+00	5.043508e+01
6.203600000000002e+00	5.043251e+01
6.203900000000003e+00	5.042993e+01
6.204200000000003e+00	5.042737e+01
6.204500000000003e+00	5.042479e+01
6.204800000000003e+00	5.042222e+01
6.205100000000003e+00	5.041965e+01
6.205400000000004e+00	5.041708e+01
6.205700000000004e+00	5.041451e+01
6.206000000000004e+00	5.041195e+01
6.206300000000004e+00	5.040937e+01
6.206600000000004e+00	5.040681e+01
6.206900000000005e+00	5.040424e+01
6.207200000000005e+00	5.040167e+01
6.207500000000005e+00	5.039910e+01
6.207800000000005e+00	5.039654e+01
6.208100000000005e+00	5.039396e+01
6.208400000000005e+00	5.039140e+01
6.208700000000006e+00	5.038883e+01
6.209000000000006e+00	5.038627e+01
6.209300000000006e+00	5.038370e+01
6.209600000000006e+00	5.038113e+01
6.209900000000006e+00	5.037856e+01
6.210200000000007e+00	5.037600e+01
6.210500000000007e+00	5.037343e+01
6.210800000000007e+00	5.037087e+01
6.211100000000007e+00	5.036830e+01
6.211400000000007e+00	5.036574e+01
6.211700000000008e+00	5.036317e+01
6.212000000000008e+00	5.036061e+01
6.212300000000008e+00	5.035805e+01
6.212600000000008e+00	5.035548e+01
6.212900000000008e+00	5.035291e+01
6.213200000000008e+00	5.035035e+01
6.213500000000009e+00	5.034779e+01
6.213800000000009e+00	5.034523e+01
6.214100000000009e+00	5.034267e+01
6.214400000000009e+00	5.034011e+01
6.214700000000009e+00	5.033754e+01
6.215000000000010e+00	5.033498e+01
6.215300000000010e+00	5.033242e+01
6.215600000000010e+00	5.032986e+01
6.215900000000010e+00	5.032730e+01
6.216200000000010e+00	5.032474e+01
6.216500000000011e+00	5.032218e+01
6.216800000000011e+00	5.031961e+01
6.217100000000011e+00	5.031705e+01
6.217400000000011e+00	5.031449e+01
6.217700000000011e+00	5.031194e+01
6.218000000000012e+00	5.030938e+01
6.218300000000012e+00	5.030682e+01
6.218600000000012e+00	5.030426e+01
6.218900000000012e+00	5.030170e+01
6.219200000000012e+00	5.029914e+01
6.219500000000012e+00	5.029658e+01
6.219800000000013e+00	5.029402e+01
6.220100000000013e+00	5.029147e+01
6.220400000000013e+00	5.028891e+01
6.220700000000013e+00	5.028636e+01
6.221000000000013e+00	5.028379e+01
6.221300000000014e+00	5.028124e+01
6.221600000000014e+00	5.027868e+01
6.221900000000014e+00	5.027613e+01
6.222200000000014e+00	5.027357e+01
6.222500000000014e+00	5.027102e+01
6.222800000000015e+00	5.026846e+01
6.223100000000015e+00	5.026591e+01
6.223400000000015e+00	5.026335e+01
6.223700000000015e+00	5.026080e+01
6.224000000000015e+00	5.025824e+01
6.224300000000015e+00	5.025569e+01
6.224600000000016e+00	5.025313e+01
6.224900000000016e+00	5.025058e+01
6.225200000000016e+00	5.024803e+01
6.225500000000016e+00	5.024547e+01
