rl	V(v2s)	I(Rl)
1.000000000000000e-02	2.059628e-03	2.059628e-01
1.100000000000000e-01	2.283140e-02	2.075582e-01
2.100000000000000e-01	4.395350e-02	2.093024e-01
3.100000000000001e-01	6.547169e-02	2.111990e-01
4.100000000000000e-01	8.743190e-02	2.132485e-01
5.100000000000000e-01	1.098768e-01	2.154447e-01
6.100000000000000e-01	1.328459e-01	2.177802e-01
7.100000000000000e-01	1.563733e-01	2.202441e-01
8.099999999999999e-01	1.804890e-01	2.228259e-01
9.099999999999999e-01	2.052197e-01	2.255161e-01
1.010000000000000e+00	2.305904e-01	2.283073e-01
1.110000000000000e+00	2.566250e-01	2.311937e-01
1.210000000000000e+00	2.833480e-01	2.341719e-01
1.310000000000000e+00	3.107846e-01	2.372402e-01
1.410000000000000e+00	3.389615e-01	2.403983e-01
1.510000000000000e+00	3.679072e-01	2.436472e-01
1.610000000000001e+00	3.976519e-01	2.469887e-01
1.710000000000001e+00	4.282278e-01	2.504256e-01
1.810000000000001e+00	4.596695e-01	2.539611e-01
1.910000000000001e+00	4.920135e-01	2.575987e-01
2.010000000000001e+00	5.252986e-01	2.613426e-01
2.110000000000001e+00	5.595663e-01	2.651973e-01
2.210000000000001e+00	5.948603e-01	2.691676e-01
2.310000000000001e+00	6.312275e-01	2.732587e-01
2.410000000000001e+00	6.687174e-01	2.774761e-01
2.510000000000001e+00	7.073826e-01	2.818258e-01
2.610000000000001e+00	7.472794e-01	2.863140e-01
2.710000000000001e+00	7.884674e-01	2.909474e-01
2.810000000000001e+00	8.310103e-01	2.957332e-01
2.910000000000001e+00	8.749762e-01	3.006791e-01
3.010000000000002e+00	9.204376e-01	3.057932e-01
3.110000000000002e+00	9.674720e-01	3.110842e-01
3.210000000000002e+00	1.016163e+00	3.165615e-01
3.310000000000002e+00	1.066598e+00	3.222351e-01
3.410000000000002e+00	1.118875e+00	3.281157e-01
3.510000000000002e+00	1.173094e+00	3.342149e-01
3.610000000000002e+00	1.229367e+00	3.405450e-01
3.710000000000002e+00	1.287813e+00	3.471195e-01
3.810000000000002e+00	1.348560e+00	3.539526e-01
3.910000000000002e+00	1.411745e+00	3.610602e-01
4.010000000000002e+00	1.477520e+00	3.684590e-01
4.110000000000002e+00	1.546047e+00	3.761671e-01
4.210000000000002e+00	1.617501e+00	3.842046e-01
4.310000000000001e+00	1.692075e+00	3.925929e-01
4.410000000000001e+00	1.769977e+00	4.013554e-01
4.510000000000001e+00	1.851436e+00	4.105179e-01
4.610000000000000e+00	1.936699e+00	4.201083e-01
4.710000000000000e+00	2.026040e+00	4.301572e-01
4.810000000000000e+00	2.119759e+00	4.406984e-01
4.909999999999999e+00	2.218185e+00	4.517689e-01
5.009999999999999e+00	2.321682e+00	4.634096e-01
5.109999999999999e+00	2.430652e+00	4.756657e-01
5.209999999999998e+00	2.545539e+00	4.885872e-01
5.309999999999998e+00	2.666841e+00	5.022299e-01
5.409999999999997e+00	2.795107e+00	5.166557e-01
5.509999999999997e+00	2.930957e+00	5.319341e-01
5.609999999999997e+00	3.075082e+00	5.481429e-01
5.709999999999996e+00	3.228261e+00	5.653697e-01
5.809999999999996e+00	3.391374e+00	5.837133e-01
5.909999999999996e+00	3.565420e+00	6.032860e-01
6.009999999999995e+00	3.751534e+00	6.242153e-01
6.109999999999995e+00	3.951015e+00	6.466473e-01
6.209999999999995e+00	4.165354e+00	6.707495e-01
6.309999999999994e+00	4.396268e+00	6.967145e-01
6.409999999999994e+00	4.645370e+00	7.247068e-01
6.509999999999994e+00	4.885001e+00	7.503841e-01
6.609999999999993e+00	5.001228e+00	7.566155e-01
6.709999999999993e+00	5.014024e+00	7.472464e-01
6.809999999999993e+00	5.014027e+00	7.362741e-01
6.909999999999992e+00	5.014030e+00	7.256194e-01
7.009999999999992e+00	5.014032e+00	7.152686e-01
7.109999999999991e+00	5.014035e+00	7.052089e-01
7.209999999999991e+00	5.014038e+00	6.954283e-01
7.309999999999991e+00	5.014041e+00	6.859153e-01
7.409999999999990e+00	5.014043e+00	6.766590e-01
7.509999999999990e+00	5.014046e+00	6.676493e-01
7.609999999999990e+00	5.014049e+00	6.588763e-01
7.709999999999989e+00	5.014051e+00	6.503309e-01
7.809999999999989e+00	5.014053e+00	6.420043e-01
7.909999999999989e+00	5.014056e+00	6.338882e-01
8.009999999999989e+00	5.014058e+00	6.259748e-01
8.109999999999989e+00	5.014060e+00	6.182566e-01
8.209999999999988e+00	5.014063e+00	6.107263e-01
8.309999999999988e+00	5.014065e+00	6.033773e-01
8.409999999999988e+00	5.014067e+00	5.962030e-01
8.509999999999987e+00	5.014070e+00	5.891973e-01
8.609999999999987e+00	5.014071e+00	5.823544e-01
8.709999999999987e+00	5.014073e+00	5.756686e-01
8.809999999999986e+00	5.014076e+00	5.691346e-01
8.909999999999986e+00	5.014078e+00	5.627472e-01
9.009999999999986e+00	5.014080e+00	5.565016e-01
9.109999999999985e+00	5.014081e+00	5.503931e-01
9.209999999999985e+00	5.014083e+00	5.444173e-01
9.309999999999985e+00	5.014085e+00	5.385699e-01
9.409999999999984e+00	5.014087e+00	5.328466e-01
9.509999999999984e+00	5.014089e+00	5.272439e-01
9.609999999999983e+00	5.014091e+00	5.217576e-01
9.709999999999983e+00	5.014092e+00	5.163844e-01
9.809999999999983e+00	5.014094e+00	5.111207e-01
9.909999999999982e+00	5.014096e+00	5.059633e-01
1.000999999999998e+01	5.014097e+00	5.009089e-01
1.010999999999998e+01	5.014099e+00	4.959544e-01
1.020999999999998e+01	5.014101e+00	4.910970e-01
1.030999999999998e+01	5.014102e+00	4.863339e-01
1.040999999999998e+01	5.014104e+00	4.816622e-01
1.050999999999998e+01	5.014105e+00	4.770795e-01
1.060999999999998e+01	5.014107e+00	4.725831e-01
1.070999999999998e+01	5.014109e+00	4.681707e-01
1.080999999999998e+01	5.014110e+00	4.638399e-01
1.090999999999998e+01	5.014112e+00	4.595886e-01
1.100999999999998e+01	5.014113e+00	4.554144e-01
1.110999999999998e+01	5.014114e+00	4.513154e-01
1.120999999999998e+01	5.014116e+00	4.472895e-01
1.130999999999998e+01	5.014117e+00	4.433348e-01
1.140999999999998e+01	5.014119e+00	4.394495e-01
1.150999999999998e+01	5.014120e+00	4.356316e-01
1.160999999999998e+01	5.014121e+00	4.318795e-01
1.170999999999998e+01	5.014122e+00	4.281915e-01
1.180999999999998e+01	5.014124e+00	4.245659e-01
1.190999999999998e+01	5.014125e+00	4.210013e-01
1.200999999999997e+01	5.014126e+00	4.174959e-01
1.210999999999997e+01	5.014128e+00	4.140485e-01
1.220999999999997e+01	5.014129e+00	4.106576e-01
1.230999999999997e+01	5.014130e+00	4.073217e-01
1.240999999999997e+01	5.014131e+00	4.040396e-01
1.250999999999997e+01	5.014132e+00	4.008099e-01
1.260999999999997e+01	5.014133e+00	3.976315e-01
1.270999999999997e+01	5.014135e+00	3.945031e-01
1.280999999999997e+01	5.014136e+00	3.914236e-01
1.290999999999997e+01	5.014137e+00	3.883917e-01
1.300999999999997e+01	5.014138e+00	3.854065e-01
1.310999999999997e+01	5.014139e+00	3.824668e-01
1.320999999999997e+01	5.014140e+00	3.795716e-01
1.330999999999997e+01	5.014142e+00	3.767199e-01
1.340999999999997e+01	5.014143e+00	3.739107e-01
1.350999999999997e+01	5.014143e+00	3.711431e-01
1.360999999999997e+01	5.014144e+00	3.684162e-01
1.370999999999997e+01	5.014146e+00	3.657291e-01
1.380999999999997e+01	5.014147e+00	3.630809e-01
1.390999999999997e+01	5.014148e+00	3.604707e-01
1.400999999999997e+01	5.014149e+00	3.578978e-01
1.410999999999997e+01	5.014150e+00	3.553614e-01
1.420999999999997e+01	5.014151e+00	3.528607e-01
1.430999999999997e+01	5.014152e+00	3.503949e-01
1.440999999999997e+01	5.014153e+00	3.479634e-01
1.450999999999997e+01	5.014153e+00	3.455654e-01
1.460999999999997e+01	5.014154e+00	3.432002e-01
1.470999999999997e+01	5.014155e+00	3.408671e-01
1.480999999999996e+01	5.014156e+00	3.385656e-01
1.490999999999996e+01	5.014157e+00	3.362949e-01
1.500999999999996e+01	5.014158e+00	3.340545e-01
1.510999999999996e+01	5.014159e+00	3.318438e-01
1.520999999999996e+01	5.014160e+00	3.296621e-01
1.530999999999996e+01	5.014161e+00	3.275089e-01
1.540999999999996e+01	5.014162e+00	3.253836e-01
1.550999999999996e+01	5.014163e+00	3.232858e-01
1.560999999999996e+01	5.014163e+00	3.212148e-01
1.570999999999996e+01	5.014164e+00	3.191702e-01
1.580999999999996e+01	5.014165e+00	3.171515e-01
1.590999999999996e+01	5.014166e+00	3.151581e-01
1.600999999999996e+01	5.014167e+00	3.131897e-01
1.610999999999996e+01	5.014168e+00	3.112457e-01
1.620999999999997e+01	5.014168e+00	3.093256e-01
1.630999999999997e+01	5.014169e+00	3.074291e-01
1.640999999999997e+01	5.014170e+00	3.055558e-01
1.650999999999997e+01	5.014171e+00	3.037051e-01
1.660999999999997e+01	5.014172e+00	3.018767e-01
1.670999999999997e+01	5.014172e+00	3.000702e-01
1.680999999999997e+01	5.014173e+00	2.982851e-01
1.690999999999998e+01	5.014174e+00	2.965212e-01
1.700999999999998e+01	5.014174e+00	2.947780e-01
1.710999999999998e+01	5.014175e+00	2.930552e-01
1.720999999999998e+01	5.014176e+00	2.913525e-01
1.730999999999998e+01	5.014177e+00	2.896694e-01
1.740999999999998e+01	5.014177e+00	2.880056e-01
1.750999999999998e+01	5.014178e+00	2.863608e-01
1.760999999999999e+01	5.014179e+00	2.847348e-01
1.770999999999999e+01	5.014180e+00	2.831270e-01
1.780999999999999e+01	5.014180e+00	2.815374e-01
1.790999999999999e+01	5.014181e+00	2.799654e-01
1.800999999999999e+01	5.014182e+00	2.784110e-01
1.810999999999999e+01	5.014183e+00	2.768737e-01
1.820999999999999e+01	5.014183e+00	2.753533e-01
1.831000000000000e+01	5.014184e+00	2.738495e-01
1.841000000000000e+01	5.014184e+00	2.723620e-01
1.851000000000000e+01	5.014185e+00	2.708906e-01
1.861000000000000e+01	5.014186e+00	2.694350e-01
1.871000000000000e+01	5.014186e+00	2.679950e-01
1.881000000000000e+01	5.014187e+00	2.665703e-01
1.891000000000000e+01	5.014188e+00	2.651606e-01
1.901000000000001e+01	5.014188e+00	2.637658e-01
1.911000000000001e+01	5.014189e+00	2.623856e-01
1.921000000000001e+01	5.014190e+00	2.610198e-01
1.931000000000001e+01	5.014190e+00	2.596681e-01
1.941000000000001e+01	5.014191e+00	2.583303e-01
1.951000000000001e+01	5.014191e+00	2.570062e-01
1.961000000000001e+01	5.014192e+00	2.556957e-01
1.971000000000002e+01	5.014193e+00	2.543984e-01
1.981000000000002e+01	5.014193e+00	2.531143e-01
1.991000000000002e+01	5.014194e+00	2.518430e-01
2.001000000000002e+01	5.014194e+00	2.505844e-01
2.011000000000002e+01	5.014195e+00	2.493384e-01
2.021000000000002e+01	5.014195e+00	2.481047e-01
2.031000000000002e+01	5.014196e+00	2.468831e-01
2.041000000000003e+01	5.014196e+00	2.456735e-01
2.051000000000003e+01	5.014197e+00	2.444757e-01
2.061000000000003e+01	5.014198e+00	2.432896e-01
2.071000000000003e+01	5.014198e+00	2.421148e-01
2.081000000000003e+01	5.014199e+00	2.409514e-01
2.091000000000003e+01	5.014199e+00	2.397991e-01
2.101000000000003e+01	5.014200e+00	2.386578e-01
2.111000000000003e+01	5.014201e+00	2.375273e-01
2.121000000000004e+01	5.014201e+00	2.364074e-01
2.131000000000004e+01	5.014202e+00	2.352981e-01
2.141000000000004e+01	5.014202e+00	2.341991e-01
2.151000000000004e+01	5.014203e+00	2.331103e-01
2.161000000000004e+01	5.014203e+00	2.320316e-01
2.171000000000004e+01	5.014204e+00	2.309629e-01
2.181000000000004e+01	5.014204e+00	2.299039e-01
2.191000000000005e+01	5.014205e+00	2.288546e-01
2.201000000000005e+01	5.014205e+00	2.278149e-01
2.211000000000005e+01	5.014205e+00	2.267845e-01
2.221000000000005e+01	5.014206e+00	2.257634e-01
2.231000000000005e+01	5.014207e+00	2.247515e-01
2.241000000000005e+01	5.014207e+00	2.237486e-01
2.251000000000005e+01	5.014208e+00	2.227547e-01
2.261000000000006e+01	5.014208e+00	2.217695e-01
2.271000000000006e+01	5.014209e+00	2.207930e-01
2.281000000000006e+01	5.014209e+00	2.198250e-01
2.291000000000006e+01	5.014210e+00	2.188655e-01
2.301000000000006e+01	5.014210e+00	2.179144e-01
2.311000000000006e+01	5.014211e+00	2.169715e-01
2.321000000000006e+01	5.014211e+00	2.160367e-01
2.331000000000007e+01	5.014212e+00	2.151099e-01
2.341000000000007e+01	5.014212e+00	2.141910e-01
2.351000000000007e+01	5.014212e+00	2.132800e-01
2.361000000000007e+01	5.014213e+00	2.123767e-01
2.371000000000007e+01	5.014213e+00	2.114809e-01
2.381000000000007e+01	5.014214e+00	2.105928e-01
2.391000000000007e+01	5.014214e+00	2.097120e-01
