vin	V(v2s)
6.200000000000000e+00	3.317672e+00
6.200300000000000e+00	3.317672e+00
6.200600000000001e+00	3.317673e+00
6.200900000000001e+00	3.317674e+00
6.201200000000001e+00	3.317674e+00
6.201500000000001e+00	3.317675e+00
6.201800000000001e+00	3.317676e+00
6.202100000000002e+00	3.317676e+00
6.202400000000002e+00	3.317677e+00
6.202700000000002e+00	3.317677e+00
6.203000000000002e+00	3.317678e+00
6.203300000000002e+00	3.317679e+00
6.203600000000002e+00	3.317679e+00
6.203900000000003e+00	3.317680e+00
6.204200000000003e+00	3.317681e+00
6.204500000000003e+00	3.317681e+00
6.204800000000003e+00	3.317682e+00
6.205100000000003e+00	3.317683e+00
6.205400000000004e+00	3.317683e+00
6.205700000000004e+00	3.317684e+00
6.206000000000004e+00	3.317685e+00
6.206300000000004e+00	3.317685e+00
6.206600000000004e+00	3.317686e+00
6.206900000000005e+00	3.317687e+00
6.207200000000005e+00	3.317687e+00
6.207500000000005e+00	3.317688e+00
6.207800000000005e+00	3.317688e+00
6.208100000000005e+00	3.317689e+00
6.208400000000005e+00	3.317690e+00
6.208700000000006e+00	3.317690e+00
6.209000000000006e+00	3.317691e+00
6.209300000000006e+00	3.317692e+00
6.209600000000006e+00	3.317692e+00
6.209900000000006e+00	3.317693e+00
6.210200000000007e+00	3.317693e+00
6.210500000000007e+00	3.317694e+00
6.210800000000007e+00	3.317695e+00
6.211100000000007e+00	3.317695e+00
6.211400000000007e+00	3.317696e+00
6.211700000000008e+00	3.317697e+00
6.212000000000008e+00	3.317697e+00
6.212300000000008e+00	3.317698e+00
6.212600000000008e+00	3.317698e+00
6.212900000000008e+00	3.317699e+00
6.213200000000008e+00	3.317700e+00
6.213500000000009e+00	3.317700e+00
6.213800000000009e+00	3.317701e+00
6.214100000000009e+00	3.317702e+00
6.214400000000009e+00	3.317702e+00
6.214700000000009e+00	3.317703e+00
6.215000000000010e+00	3.317704e+00
6.215300000000010e+00	3.317704e+00
6.215600000000010e+00	3.317705e+00
6.215900000000010e+00	3.317706e+00
6.216200000000010e+00	3.317706e+00
6.216500000000011e+00	3.317707e+00
6.216800000000011e+00	3.317708e+00
6.217100000000011e+00	3.317708e+00
6.217400000000011e+00	3.317709e+00
6.217700000000011e+00	3.317709e+00
6.218000000000012e+00	3.317710e+00
6.218300000000012e+00	3.317711e+00
6.218600000000012e+00	3.317711e+00
6.218900000000012e+00	3.317712e+00
6.219200000000012e+00	3.317713e+00
6.219500000000012e+00	3.317713e+00
6.219800000000013e+00	3.317714e+00
6.220100000000013e+00	3.317714e+00
6.220400000000013e+00	3.317715e+00
6.220700000000013e+00	3.317716e+00
6.221000000000013e+00	3.317716e+00
6.221300000000014e+00	3.317717e+00
6.221600000000014e+00	3.317718e+00
6.221900000000014e+00	3.317718e+00
6.222200000000014e+00	3.317719e+00
6.222500000000014e+00	3.317719e+00
6.222800000000015e+00	3.317720e+00
6.223100000000015e+00	3.317721e+00
6.223400000000015e+00	3.317721e+00
6.223700000000015e+00	3.317722e+00
6.224000000000015e+00	3.317723e+00
6.224300000000015e+00	3.317723e+00
6.224600000000016e+00	3.317724e+00
6.224900000000016e+00	3.317725e+00
6.225200000000016e+00	3.317725e+00
6.225500000000016e+00	3.317726e+00
6.225800000000016e+00	3.317727e+00
6.226100000000017e+00	3.317727e+00
6.226400000000017e+00	3.317728e+00
6.226700000000017e+00	3.317729e+00
6.227000000000017e+00	3.317729e+00
6.227300000000017e+00	3.317730e+00
6.227600000000018e+00	3.317730e+00
6.227900000000018e+00	3.317731e+00
6.228200000000018e+00	3.317732e+00
6.228500000000018e+00	3.317732e+00
6.228800000000018e+00	3.317733e+00
6.229100000000019e+00	3.317734e+00
6.229400000000019e+00	3.317734e+00
6.229700000000019e+00	3.317735e+00
6.230000000000019e+00	3.317735e+00
6.230300000000019e+00	3.317736e+00
6.230600000000019e+00	3.317737e+00
6.230900000000020e+00	3.317737e+00
6.231200000000020e+00	3.317738e+00
6.231500000000020e+00	3.317739e+00
6.231800000000020e+00	3.317739e+00
6.232100000000020e+00	3.317740e+00
6.232400000000021e+00	3.317740e+00
6.232700000000021e+00	3.317741e+00
6.233000000000021e+00	3.317742e+00
6.233300000000021e+00	3.317742e+00
6.233600000000021e+00	3.317743e+00
6.233900000000022e+00	3.317744e+00
6.234200000000022e+00	3.317744e+00
6.234500000000022e+00	3.317745e+00
6.234800000000022e+00	3.317746e+00
6.235100000000022e+00	3.317746e+00
6.235400000000022e+00	3.317747e+00
6.235700000000023e+00	3.317748e+00
6.236000000000023e+00	3.317748e+00
6.236300000000023e+00	3.317749e+00
6.236600000000023e+00	3.317750e+00
6.236900000000023e+00	3.317750e+00
6.237200000000024e+00	3.317751e+00
6.237500000000024e+00	3.317751e+00
6.237800000000024e+00	3.317752e+00
6.238100000000024e+00	3.317753e+00
6.238400000000024e+00	3.317753e+00
6.238700000000025e+00	3.317754e+00
6.239000000000025e+00	3.317755e+00
6.239300000000025e+00	3.317755e+00
6.239600000000025e+00	3.317756e+00
6.239900000000025e+00	3.317756e+00
6.240200000000026e+00	3.317757e+00
6.240500000000026e+00	3.317758e+00
6.240800000000026e+00	3.317758e+00
6.241100000000026e+00	3.317759e+00
6.241400000000026e+00	3.317760e+00
6.241700000000026e+00	3.317760e+00
6.242000000000027e+00	3.317761e+00
6.242300000000027e+00	3.317761e+00
6.242600000000027e+00	3.317762e+00
6.242900000000027e+00	3.317763e+00
6.243200000000027e+00	3.317763e+00
6.243500000000028e+00	3.317764e+00
6.243800000000028e+00	3.317765e+00
6.244100000000028e+00	3.317765e+00
6.244400000000028e+00	3.317766e+00
6.244700000000028e+00	3.317766e+00
6.245000000000029e+00	3.317767e+00
6.245300000000029e+00	3.317768e+00
6.245600000000029e+00	3.317768e+00
6.245900000000029e+00	3.317769e+00
6.246200000000029e+00	3.317770e+00
6.246500000000029e+00	3.317770e+00
6.246800000000030e+00	3.317771e+00
6.247100000000030e+00	3.317772e+00
6.247400000000030e+00	3.317772e+00
6.247700000000030e+00	3.317773e+00
6.248000000000030e+00	3.317774e+00
6.248300000000031e+00	3.317774e+00
6.248600000000031e+00	3.317775e+00
6.248900000000031e+00	3.317775e+00
6.249200000000031e+00	3.317776e+00
6.249500000000031e+00	3.317777e+00
6.249800000000032e+00	3.317777e+00
6.250100000000032e+00	3.317778e+00
6.250400000000032e+00	3.317779e+00
6.250700000000032e+00	3.317779e+00
6.251000000000032e+00	3.317780e+00
6.251300000000032e+00	3.317780e+00
6.251600000000033e+00	3.317781e+00
6.251900000000033e+00	3.317782e+00
6.252200000000033e+00	3.317782e+00
6.252500000000033e+00	3.317783e+00
6.252800000000033e+00	3.317784e+00
6.253100000000034e+00	3.317784e+00
6.253400000000034e+00	3.317785e+00
6.253700000000034e+00	3.317786e+00
6.254000000000034e+00	3.317786e+00
6.254300000000034e+00	3.317787e+00
6.254600000000035e+00	3.317787e+00
6.254900000000035e+00	3.317788e+00
