vin	V(v2s)
6.200000000000000e+00	5.013754e+00
6.200300000000000e+00	5.013754e+00
6.200600000000001e+00	5.013755e+00
6.200900000000001e+00	5.013756e+00
6.201200000000001e+00	5.013757e+00
6.201500000000001e+00	5.013757e+00
6.201800000000001e+00	5.013758e+00
6.202100000000002e+00	5.013759e+00
6.202400000000002e+00	5.013760e+00
6.202700000000002e+00	5.013760e+00
6.203000000000002e+00	5.013761e+00
6.203300000000002e+00	5.013762e+00
6.203600000000002e+00	5.013762e+00
6.203900000000003e+00	5.013763e+00
6.204200000000003e+00	5.013764e+00
6.204500000000003e+00	5.013764e+00
6.204800000000003e+00	5.013765e+00
6.205100000000003e+00	5.013766e+00
6.205400000000004e+00	5.013767e+00
6.205700000000004e+00	5.013767e+00
6.206000000000004e+00	5.013768e+00
6.206300000000004e+00	5.013769e+00
6.206600000000004e+00	5.013770e+00
6.206900000000005e+00	5.013770e+00
6.207200000000005e+00	5.013771e+00
6.207500000000005e+00	5.013772e+00
6.207800000000005e+00	5.013772e+00
6.208100000000005e+00	5.013773e+00
6.208400000000005e+00	5.013774e+00
6.208700000000006e+00	5.013774e+00
6.209000000000006e+00	5.013775e+00
6.209300000000006e+00	5.013776e+00
6.209600000000006e+00	5.013777e+00
6.209900000000006e+00	5.013777e+00
6.210200000000007e+00	5.013778e+00
6.210500000000007e+00	5.013779e+00
6.210800000000007e+00	5.013780e+00
6.211100000000007e+00	5.013780e+00
6.211400000000007e+00	5.013781e+00
6.211700000000008e+00	5.013782e+00
6.212000000000008e+00	5.013783e+00
6.212300000000008e+00	5.013783e+00
6.212600000000008e+00	5.013784e+00
6.212900000000008e+00	5.013784e+00
6.213200000000008e+00	5.013785e+00
6.213500000000009e+00	5.013786e+00
6.213800000000009e+00	5.013787e+00
6.214100000000009e+00	5.013787e+00
6.214400000000009e+00	5.013788e+00
6.214700000000009e+00	5.013789e+00
6.215000000000010e+00	5.013789e+00
6.215300000000010e+00	5.013790e+00
6.215600000000010e+00	5.013791e+00
6.215900000000010e+00	5.013792e+00
6.216200000000010e+00	5.013792e+00
6.216500000000011e+00	5.013793e+00
6.216800000000011e+00	5.013793e+00
6.217100000000011e+00	5.013794e+00
6.217400000000011e+00	5.013795e+00
6.217700000000011e+00	5.013796e+00
6.218000000000012e+00	5.013796e+00
6.218300000000012e+00	5.013797e+00
6.218600000000012e+00	5.013798e+00
6.218900000000012e+00	5.013799e+00
6.219200000000012e+00	5.013799e+00
6.219500000000012e+00	5.013800e+00
6.219800000000013e+00	5.013801e+00
6.220100000000013e+00	5.013802e+00
6.220400000000013e+00	5.013802e+00
6.220700000000013e+00	5.013803e+00
6.221000000000013e+00	5.013803e+00
6.221300000000014e+00	5.013804e+00
6.221600000000014e+00	5.013805e+00
6.221900000000014e+00	5.013805e+00
6.222200000000014e+00	5.013806e+00
6.222500000000014e+00	5.013807e+00
6.222800000000015e+00	5.013808e+00
6.223100000000015e+00	5.013808e+00
6.223400000000015e+00	5.013809e+00
6.223700000000015e+00	5.013810e+00
6.224000000000015e+00	5.013811e+00
6.224300000000015e+00	5.013811e+00
6.224600000000016e+00	5.013812e+00
6.224900000000016e+00	5.013813e+00
6.225200000000016e+00	5.013813e+00
6.225500000000016e+00	5.013814e+00
6.225800000000016e+00	5.013814e+00
6.226100000000017e+00	5.013815e+00
6.226400000000017e+00	5.013816e+00
6.226700000000017e+00	5.013817e+00
6.227000000000017e+00	5.013817e+00
6.227300000000017e+00	5.013818e+00
6.227600000000018e+00	5.013819e+00
6.227900000000018e+00	5.013820e+00
6.228200000000018e+00	5.013820e+00
6.228500000000018e+00	5.013821e+00
6.228800000000018e+00	5.013822e+00
6.229100000000019e+00	5.013822e+00
6.229400000000019e+00	5.013823e+00
6.229700000000019e+00	5.013824e+00
6.230000000000019e+00	5.013824e+00
6.230300000000019e+00	5.013825e+00
6.230600000000019e+00	5.013826e+00
6.230900000000020e+00	5.013826e+00
6.231200000000020e+00	5.013827e+00
6.231500000000020e+00	5.013828e+00
6.231800000000020e+00	5.013828e+00
6.232100000000020e+00	5.013829e+00
6.232400000000021e+00	5.013830e+00
6.232700000000021e+00	5.013831e+00
6.233000000000021e+00	5.013831e+00
6.233300000000021e+00	5.013832e+00
6.233600000000021e+00	5.013833e+00
6.233900000000022e+00	5.013834e+00
6.234200000000022e+00	5.013834e+00
6.234500000000022e+00	5.013835e+00
6.234800000000022e+00	5.013835e+00
6.235100000000022e+00	5.013836e+00
6.235400000000022e+00	5.013837e+00
6.235700000000023e+00	5.013837e+00
6.236000000000023e+00	5.013838e+00
6.236300000000023e+00	5.013839e+00
6.236600000000023e+00	5.013840e+00
6.236900000000023e+00	5.013840e+00
6.237200000000024e+00	5.013841e+00
6.237500000000024e+00	5.013842e+00
6.237800000000024e+00	5.013842e+00
6.238100000000024e+00	5.013843e+00
6.238400000000024e+00	5.013844e+00
6.238700000000025e+00	5.013844e+00
6.239000000000025e+00	5.013845e+00
6.239300000000025e+00	5.013846e+00
6.239600000000025e+00	5.013846e+00
6.239900000000025e+00	5.013847e+00
6.240200000000026e+00	5.013848e+00
6.240500000000026e+00	5.013848e+00
6.240800000000026e+00	5.013849e+00
6.241100000000026e+00	5.013850e+00
6.241400000000026e+00	5.013851e+00
6.241700000000026e+00	5.013851e+00
6.242000000000027e+00	5.013852e+00
6.242300000000027e+00	5.013853e+00
6.242600000000027e+00	5.013854e+00
6.242900000000027e+00	5.013854e+00
6.243200000000027e+00	5.013855e+00
6.243500000000028e+00	5.013855e+00
6.243800000000028e+00	5.013856e+00
6.244100000000028e+00	5.013857e+00
6.244400000000028e+00	5.013857e+00
6.244700000000028e+00	5.013858e+00
6.245000000000029e+00	5.013859e+00
6.245300000000029e+00	5.013860e+00
6.245600000000029e+00	5.013860e+00
6.245900000000029e+00	5.013861e+00
6.246200000000029e+00	5.013862e+00
6.246500000000029e+00	5.013862e+00
6.246800000000030e+00	5.013863e+00
6.247100000000030e+00	5.013864e+00
6.247400000000030e+00	5.013865e+00
6.247700000000030e+00	5.013865e+00
6.248000000000030e+00	5.013866e+00
6.248300000000031e+00	5.013866e+00
6.248600000000031e+00	5.013867e+00
6.248900000000031e+00	5.013868e+00
6.249200000000031e+00	5.013868e+00
6.249500000000031e+00	5.013869e+00
6.249800000000032e+00	5.013870e+00
6.250100000000032e+00	5.013871e+00
6.250400000000032e+00	5.013871e+00
6.250700000000032e+00	5.013872e+00
6.251000000000032e+00	5.013873e+00
6.251300000000032e+00	5.013873e+00
6.251600000000033e+00	5.013874e+00
6.251900000000033e+00	5.013875e+00
6.252200000000033e+00	5.013875e+00
6.252500000000033e+00	5.013876e+00
6.252800000000033e+00	5.013877e+00
6.253100000000034e+00	5.013877e+00
6.253400000000034e+00	5.013878e+00
6.253700000000034e+00	5.013879e+00
6.254000000000034e+00	5.013879e+00
6.254300000000034e+00	5.013880e+00
6.254600000000035e+00	5.013881e+00
6.254900000000035e+00	5.013882e+00
6.255200000000035e+00	5.013882e+00
6.255500000000035e+00	5.013883e+00
6.255800000000035e+00	5.013884e+00
6.256100000000036e+00	5.013884e+00
6.256400000000036e+00	5.013885e+00
6.256700000000036e+00	5.013885e+00
6.257000000000036e+00	5.013886e+00
6.257300000000036e+00	5.013887e+00
6.257600000000036e+00	5.013888e+00
6.257900000000037e+00	5.013888e+00
6.258200000000037e+00	5.013889e+00
6.258500000000037e+00	5.013890e+00
6.258800000000037e+00	5.013890e+00
6.259100000000037e+00	5.013891e+00
6.259400000000038e+00	5.013892e+00
6.259700000000038e+00	5.013893e+00
6.260000000000038e+00	5.013893e+00
6.260300000000038e+00	5.013894e+00
6.260600000000038e+00	5.013895e+00
6.260900000000039e+00	5.013895e+00
6.261200000000039e+00	5.013896e+00
6.261500000000039e+00	5.013896e+00
6.261800000000039e+00	5.013897e+00
6.262100000000039e+00	5.013898e+00
6.262400000000039e+00	5.013899e+00
6.262700000000040e+00	5.013899e+00
6.263000000000040e+00	5.013900e+00
6.263300000000040e+00	5.013901e+00
6.263600000000040e+00	5.013901e+00
6.263900000000040e+00	5.013902e+00
6.264200000000041e+00	5.013903e+00
6.264500000000041e+00	5.013904e+00
6.264800000000041e+00	5.013904e+00
6.265100000000041e+00	5.013905e+00
6.265400000000041e+00	5.013906e+00
6.265700000000042e+00	5.013906e+00
6.266000000000042e+00	5.013907e+00
6.266300000000042e+00	5.013907e+00
6.266600000000042e+00	5.013908e+00
6.266900000000042e+00	5.013909e+00
6.267200000000043e+00	5.013909e+00
6.267500000000043e+00	5.013910e+00
6.267800000000043e+00	5.013911e+00
6.268100000000043e+00	5.013912e+00
6.268400000000043e+00	5.013912e+00
6.268700000000043e+00	5.013913e+00
6.269000000000044e+00	5.013914e+00
6.269300000000044e+00	5.013914e+00
6.269600000000044e+00	5.013915e+00
6.269900000000044e+00	5.013916e+00
6.270200000000044e+00	5.013916e+00
6.270500000000045e+00	5.013917e+00
6.270800000000045e+00	5.013918e+00
6.271100000000045e+00	5.013918e+00
6.271400000000045e+00	5.013919e+00
6.271700000000045e+00	5.013920e+00
6.272000000000046e+00	5.013920e+00
6.272300000000046e+00	5.013921e+00
6.272600000000046e+00	5.013922e+00
6.272900000000046e+00	5.013923e+00
6.273200000000046e+00	5.013923e+00
6.273500000000046e+00	5.013924e+00
6.273800000000047e+00	5.013925e+00
6.274100000000047e+00	5.013925e+00
6.274400000000047e+00	5.013926e+00
6.274700000000047e+00	5.013927e+00
6.275000000000047e+00	5.013927e+00
6.275300000000048e+00	5.013928e+00
6.275600000000048e+00	5.013928e+00
6.275900000000048e+00	5.013929e+00
6.276200000000048e+00	5.013930e+00
6.276500000000048e+00	5.013931e+00
6.276800000000049e+00	5.013931e+00
6.277100000000049e+00	5.013932e+00
6.277400000000049e+00	5.013933e+00
6.277700000000049e+00	5.013934e+00
6.278000000000049e+00	5.013934e+00
6.278300000000050e+00	5.013935e+00
6.278600000000050e+00	5.013936e+00
6.278900000000050e+00	5.013936e+00
6.279200000000050e+00	5.013937e+00
6.279500000000050e+00	5.013937e+00
6.279800000000050e+00	5.013938e+00
6.280100000000051e+00	5.013939e+00
6.280400000000051e+00	5.013939e+00
6.280700000000051e+00	5.013940e+00
6.281000000000051e+00	5.013941e+00
6.281300000000051e+00	5.013942e+00
6.281600000000052e+00	5.013942e+00
6.281900000000052e+00	5.013943e+00
6.282200000000052e+00	5.013944e+00
6.282500000000052e+00	5.013944e+00
6.282800000000052e+00	5.013945e+00
6.283100000000053e+00	5.013946e+00
6.283400000000053e+00	5.013947e+00
6.283700000000053e+00	5.013947e+00
6.284000000000053e+00	5.013948e+00
6.284300000000053e+00	5.013948e+00
6.284600000000053e+00	5.013949e+00
6.284900000000054e+00	5.013950e+00
6.285200000000054e+00	5.013950e+00
6.285500000000054e+00	5.013951e+00
6.285800000000054e+00	5.013952e+00
6.286100000000054e+00	5.013953e+00
6.286400000000055e+00	5.013953e+00
6.286700000000055e+00	5.013954e+00
6.287000000000055e+00	5.013955e+00
6.287300000000055e+00	5.013955e+00
6.287600000000055e+00	5.013956e+00
6.287900000000056e+00	5.013957e+00
6.288200000000056e+00	5.013958e+00
6.288500000000056e+00	5.013958e+00
6.288800000000056e+00	5.013958e+00
6.289100000000056e+00	5.013959e+00
6.289400000000057e+00	5.013960e+00
6.289700000000057e+00	5.013961e+00
6.290000000000057e+00	5.013961e+00
6.290300000000057e+00	5.013962e+00
6.290600000000057e+00	5.013963e+00
6.290900000000057e+00	5.013963e+00
6.291200000000058e+00	5.013964e+00
6.291500000000058e+00	5.013965e+00
6.291800000000058e+00	5.013966e+00
6.292100000000058e+00	5.013966e+00
6.292400000000058e+00	5.013967e+00
6.292700000000059e+00	5.013968e+00
6.293000000000059e+00	5.013968e+00
6.293300000000059e+00	5.013969e+00
6.293600000000059e+00	5.013969e+00
6.293900000000059e+00	5.013970e+00
6.294200000000060e+00	5.013971e+00
6.294500000000060e+00	5.013971e+00
6.294800000000060e+00	5.013972e+00
6.295100000000060e+00	5.013973e+00
6.295400000000060e+00	5.013974e+00
6.295700000000060e+00	5.013974e+00
6.296000000000061e+00	5.013975e+00
6.296300000000061e+00	5.013976e+00
6.296600000000061e+00	5.013976e+00
6.296900000000061e+00	5.013977e+00
6.297200000000061e+00	5.013978e+00
6.297500000000062e+00	5.013978e+00
6.297800000000062e+00	5.013979e+00
6.298100000000062e+00	5.013980e+00
6.298400000000062e+00	5.013980e+00
6.298700000000062e+00	5.013981e+00
6.299000000000063e+00	5.013982e+00
6.299300000000063e+00	5.013982e+00
6.299600000000063e+00	5.013983e+00
6.299900000000063e+00	5.013984e+00
6.300200000000063e+00	5.013985e+00
6.300500000000063e+00	5.013985e+00
6.300800000000064e+00	5.013986e+00
6.301100000000064e+00	5.013987e+00
6.301400000000064e+00	5.013987e+00
6.301700000000064e+00	5.013988e+00
6.302000000000064e+00	5.013988e+00
6.302300000000065e+00	5.013989e+00
6.302600000000065e+00	5.013990e+00
6.302900000000065e+00	5.013990e+00
6.303200000000065e+00	5.013991e+00
6.303500000000065e+00	5.013992e+00
6.303800000000066e+00	5.013993e+00
6.304100000000066e+00	5.013993e+00
6.304400000000066e+00	5.013994e+00
6.304700000000066e+00	5.013995e+00
6.305000000000066e+00	5.013995e+00
6.305300000000067e+00	5.013996e+00
6.305600000000067e+00	5.013997e+00
6.305900000000067e+00	5.013998e+00
6.306200000000067e+00	5.013998e+00
6.306500000000067e+00	5.013999e+00
6.306800000000067e+00	5.013999e+00
6.307100000000068e+00	5.014000e+00
6.307400000000068e+00	5.014001e+00
6.307700000000068e+00	5.014001e+00
6.308000000000068e+00	5.014002e+00
6.308300000000068e+00	5.014003e+00
6.308600000000069e+00	5.014004e+00
6.308900000000069e+00	5.014004e+00
6.309200000000069e+00	5.014005e+00
6.309500000000069e+00	5.014006e+00
6.309800000000069e+00	5.014006e+00
6.310100000000070e+00	5.014007e+00
6.310400000000070e+00	5.014008e+00
6.310700000000070e+00	5.014009e+00
6.311000000000070e+00	5.014009e+00
6.311300000000070e+00	5.014009e+00
6.311600000000070e+00	5.014010e+00
6.311900000000071e+00	5.014011e+00
6.312200000000071e+00	5.014012e+00
6.312500000000071e+00	5.014012e+00
6.312800000000071e+00	5.014013e+00
6.313100000000071e+00	5.014014e+00
6.313400000000072e+00	5.014014e+00
6.313700000000072e+00	5.014015e+00
6.314000000000072e+00	5.014016e+00
6.314300000000072e+00	5.014017e+00
6.314600000000072e+00	5.014017e+00
6.314900000000073e+00	5.014018e+00
6.315200000000073e+00	5.014019e+00
6.315500000000073e+00	5.014019e+00
6.315800000000073e+00	5.014020e+00
6.316100000000073e+00	5.014020e+00
6.316400000000074e+00	5.014021e+00
6.316700000000074e+00	5.014022e+00
6.317000000000074e+00	5.014022e+00
6.317300000000074e+00	5.014023e+00
6.317600000000074e+00	5.014024e+00
6.317900000000074e+00	5.014025e+00
6.318200000000075e+00	5.014025e+00
6.318500000000075e+00	5.014026e+00
6.318800000000075e+00	5.014027e+00
6.319100000000075e+00	5.014027e+00
6.319400000000075e+00	5.014028e+00
6.319700000000076e+00	5.014029e+00
6.320000000000076e+00	5.014030e+00
6.320300000000076e+00	5.014030e+00
6.320600000000076e+00	5.014031e+00
6.320900000000076e+00	5.014031e+00
6.321200000000077e+00	5.014032e+00
6.321500000000077e+00	5.014033e+00
6.321800000000077e+00	5.014033e+00
6.322100000000077e+00	5.014034e+00
6.322400000000077e+00	5.014035e+00
6.322700000000077e+00	5.014036e+00
6.323000000000078e+00	5.014036e+00
6.323300000000078e+00	5.014037e+00
6.323600000000078e+00	5.014038e+00
6.323900000000078e+00	5.014038e+00
6.324200000000078e+00	5.014039e+00
6.324500000000079e+00	5.014040e+00
6.324800000000079e+00	5.014040e+00
6.325100000000079e+00	5.014041e+00
6.325400000000079e+00	5.014041e+00
6.325700000000079e+00	5.014042e+00
6.326000000000080e+00	5.014043e+00
6.326300000000080e+00	5.014044e+00
6.326600000000080e+00	5.014044e+00
6.326900000000080e+00	5.014045e+00
6.327200000000080e+00	5.014046e+00
6.327500000000081e+00	5.014046e+00
6.327800000000081e+00	5.014047e+00
6.328100000000081e+00	5.014048e+00
6.328400000000081e+00	5.014049e+00
6.328700000000081e+00	5.014049e+00
6.329000000000081e+00	5.014050e+00
6.329300000000082e+00	5.014050e+00
6.329600000000082e+00	5.014051e+00
6.329900000000082e+00	5.014052e+00
6.330200000000082e+00	5.014052e+00
6.330500000000082e+00	5.014053e+00
6.330800000000083e+00	5.014054e+00
6.331100000000083e+00	5.014054e+00
6.331400000000083e+00	5.014055e+00
6.331700000000083e+00	5.014056e+00
6.332000000000083e+00	5.014057e+00
6.332300000000084e+00	5.014057e+00
6.332600000000084e+00	5.014058e+00
6.332900000000084e+00	5.014059e+00
6.333200000000084e+00	5.014059e+00
6.333500000000084e+00	5.014060e+00
6.333800000000084e+00	5.014060e+00
6.334100000000085e+00	5.014061e+00
6.334400000000085e+00	5.014062e+00
6.334700000000085e+00	5.014063e+00
6.335000000000085e+00	5.014063e+00
6.335300000000085e+00	5.014064e+00
6.335600000000086e+00	5.014065e+00
6.335900000000086e+00	5.014065e+00
6.336200000000086e+00	5.014066e+00
6.336500000000086e+00	5.014067e+00
6.336800000000086e+00	5.014067e+00
6.337100000000087e+00	5.014068e+00
6.337400000000087e+00	5.014069e+00
6.337700000000087e+00	5.014070e+00
6.338000000000087e+00	5.014070e+00
6.338300000000087e+00	5.014071e+00
6.338600000000087e+00	5.014071e+00
6.338900000000088e+00	5.014072e+00
6.339200000000088e+00	5.014073e+00
6.339500000000088e+00	5.014073e+00
6.339800000000088e+00	5.014074e+00
6.340100000000088e+00	5.014075e+00
6.340400000000089e+00	5.014076e+00
6.340700000000089e+00	5.014076e+00
6.341000000000089e+00	5.014077e+00
6.341300000000089e+00	5.014078e+00
6.341600000000089e+00	5.014078e+00
6.341900000000090e+00	5.014079e+00
6.342200000000090e+00	5.014080e+00
6.342500000000090e+00	5.014081e+00
6.342800000000090e+00	5.014081e+00
6.343100000000090e+00	5.014081e+00
6.343400000000091e+00	5.014082e+00
6.343700000000091e+00	5.014083e+00
6.344000000000091e+00	5.014084e+00
6.344300000000091e+00	5.014084e+00
6.344600000000091e+00	5.014085e+00
6.344900000000091e+00	5.014086e+00
6.345200000000092e+00	5.014086e+00
6.345500000000092e+00	5.014087e+00
6.345800000000092e+00	5.014088e+00
6.346100000000092e+00	5.014089e+00
6.346400000000092e+00	5.014089e+00
6.346700000000093e+00	5.014090e+00
6.347000000000093e+00	5.014091e+00
6.347300000000093e+00	5.014091e+00
6.347600000000093e+00	5.014092e+00
6.347900000000093e+00	5.014092e+00
6.348200000000094e+00	5.014093e+00
6.348500000000094e+00	5.014094e+00
6.348800000000094e+00	5.014094e+00
6.349100000000094e+00	5.014095e+00
6.349400000000094e+00	5.014096e+00
6.349700000000094e+00	5.014097e+00
6.350000000000095e+00	5.014097e+00
6.350300000000095e+00	5.014098e+00
6.350600000000095e+00	5.014099e+00
6.350900000000095e+00	5.014099e+00
6.351200000000095e+00	5.014100e+00
6.351500000000096e+00	5.014101e+00
