vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.200000000000000e+00	7.753727e+01
6.200300000000000e+00	7.753337e+01
6.200600000000001e+00	7.752949e+01
6.200900000000001e+00	7.752561e+01
6.201200000000001e+00	7.752173e+01
6.201500000000001e+00	7.751784e+01
6.201800000000001e+00	7.751395e+01
6.202100000000002e+00	7.751006e+01
6.202400000000002e+00	7.750618e+01
6.202700000000002e+00	7.750229e+01
6.203000000000002e+00	7.749841e+01
6.203300000000002e+00	7.749452e+01
6.203600000000002e+00	7.749064e+01
6.203900000000003e+00	7.748676e+01
6.204200000000003e+00	7.748288e+01
6.204500000000003e+00	7.747899e+01
6.204800000000003e+00	7.747511e+01
6.205100000000003e+00	7.747122e+01
6.205400000000004e+00	7.746735e+01
6.205700000000004e+00	7.746347e+01
6.206000000000004e+00	7.745959e+01
6.206300000000004e+00	7.745570e+01
6.206600000000004e+00	7.745182e+01
6.206900000000005e+00	7.744795e+01
6.207200000000005e+00	7.744407e+01
6.207500000000005e+00	7.744019e+01
6.207800000000005e+00	7.743631e+01
6.208100000000005e+00	7.743243e+01
6.208400000000005e+00	7.742856e+01
6.208700000000006e+00	7.742467e+01
6.209000000000006e+00	7.742080e+01
6.209300000000006e+00	7.741692e+01
6.209600000000006e+00	7.741305e+01
6.209900000000006e+00	7.740918e+01
6.210200000000007e+00	7.740531e+01
6.210500000000007e+00	7.740143e+01
6.210800000000007e+00	7.739755e+01
6.211100000000007e+00	7.739367e+01
6.211400000000007e+00	7.738981e+01
6.211700000000008e+00	7.738593e+01
6.212000000000008e+00	7.738206e+01
6.212300000000008e+00	7.737819e+01
6.212600000000008e+00	7.737431e+01
6.212900000000008e+00	7.737043e+01
6.213200000000008e+00	7.736657e+01
6.213500000000009e+00	7.736269e+01
6.213800000000009e+00	7.735883e+01
6.214100000000009e+00	7.735495e+01
6.214400000000009e+00	7.735109e+01
6.214700000000009e+00	7.734722e+01
6.215000000000010e+00	7.734334e+01
6.215300000000010e+00	7.733948e+01
6.215600000000010e+00	7.733560e+01
6.215900000000010e+00	7.733174e+01
6.216200000000010e+00	7.732786e+01
6.216500000000011e+00	7.732401e+01
6.216800000000011e+00	7.732014e+01
6.217100000000011e+00	7.731627e+01
6.217400000000011e+00	7.731240e+01
6.217700000000011e+00	7.730854e+01
6.218000000000012e+00	7.730467e+01
6.218300000000012e+00	7.730081e+01
6.218600000000012e+00	7.729694e+01
6.218900000000012e+00	7.729308e+01
6.219200000000012e+00	7.728921e+01
6.219500000000012e+00	7.728535e+01
6.219800000000013e+00	7.728149e+01
6.220100000000013e+00	7.727763e+01
6.220400000000013e+00	7.727376e+01
6.220700000000013e+00	7.726989e+01
6.221000000000013e+00	7.726603e+01
6.221300000000014e+00	7.726218e+01
6.221600000000014e+00	7.725832e+01
6.221900000000014e+00	7.725445e+01
6.222200000000014e+00	7.725059e+01
6.222500000000014e+00	7.724673e+01
6.222800000000015e+00	7.724287e+01
6.223100000000015e+00	7.723901e+01
6.223400000000015e+00	7.723516e+01
6.223700000000015e+00	7.723130e+01
6.224000000000015e+00	7.722744e+01
6.224300000000015e+00	7.722358e+01
6.224600000000016e+00	7.721971e+01
6.224900000000016e+00	7.721587e+01
6.225200000000016e+00	7.721200e+01
6.225500000000016e+00	7.720815e+01
6.225800000000016e+00	7.720429e+01
6.226100000000017e+00	7.720044e+01
6.226400000000017e+00	7.719658e+01
6.226700000000017e+00	7.719273e+01
6.227000000000017e+00	7.718887e+01
6.227300000000017e+00	7.718503e+01
6.227600000000018e+00	7.718117e+01
6.227900000000018e+00	7.717731e+01
6.228200000000018e+00	7.717346e+01
6.228500000000018e+00	7.716961e+01
6.228800000000018e+00	7.716576e+01
6.229100000000019e+00	7.716189e+01
6.229400000000019e+00	7.715805e+01
6.229700000000019e+00	7.715420e+01
6.230000000000019e+00	7.715035e+01
6.230300000000019e+00	7.714650e+01
6.230600000000019e+00	7.714265e+01
6.230900000000020e+00	7.713880e+01
6.231200000000020e+00	7.713494e+01
6.231500000000020e+00	7.713110e+01
6.231800000000020e+00	7.712725e+01
6.232100000000020e+00	7.712341e+01
6.232400000000021e+00	7.711956e+01
6.232700000000021e+00	7.711571e+01
6.233000000000021e+00	7.711186e+01
6.233300000000021e+00	7.710802e+01
6.233600000000021e+00	7.710416e+01
6.233900000000022e+00	7.710033e+01
6.234200000000022e+00	7.709648e+01
6.234500000000022e+00	7.709263e+01
6.234800000000022e+00	7.708878e+01
6.235100000000022e+00	7.708494e+01
6.235400000000022e+00	7.708109e+01
6.235700000000023e+00	7.707725e+01
6.236000000000023e+00	7.707341e+01
6.236300000000023e+00	7.706957e+01
6.236600000000023e+00	7.706572e+01
6.236900000000023e+00	7.706188e+01
6.237200000000024e+00	7.705805e+01
6.237500000000024e+00	7.705419e+01
6.237800000000024e+00	7.705036e+01
6.238100000000024e+00	7.704652e+01
6.238400000000024e+00	7.704267e+01
6.238700000000025e+00	7.703883e+01
6.239000000000025e+00	7.703500e+01
6.239300000000025e+00	7.703116e+01
6.239600000000025e+00	7.702732e+01
6.239900000000025e+00	7.702348e+01
6.240200000000026e+00	7.701964e+01
6.240500000000026e+00	7.701579e+01
6.240800000000026e+00	7.701197e+01
6.241100000000026e+00	7.700813e+01
6.241400000000026e+00	7.700429e+01
6.241700000000026e+00	7.700045e+01
6.242000000000027e+00	7.699662e+01
6.242300000000027e+00	7.699278e+01
6.242600000000027e+00	7.698895e+01
6.242900000000027e+00	7.698511e+01
6.243200000000027e+00	7.698127e+01
6.243500000000028e+00	7.697744e+01
6.243800000000028e+00	7.697360e+01
6.244100000000028e+00	7.696977e+01
6.244400000000028e+00	7.696594e+01
6.244700000000028e+00	7.696211e+01
