rl	V(v2s)
1.000000000000000e-02	2.059626e-03
1.100000000000000e-01	2.283136e-02
2.100000000000000e-01	4.395339e-02
3.100000000000001e-01	6.547149e-02
4.100000000000000e-01	8.743149e-02
5.100000000000000e-01	1.098762e-01
6.100000000000000e-01	1.328451e-01
7.100000000000000e-01	1.563721e-01
8.099999999999999e-01	1.804875e-01
9.099999999999999e-01	2.052177e-01
1.010000000000000e+00	2.305879e-01
1.110000000000000e+00	2.566220e-01
1.210000000000000e+00	2.833443e-01
1.310000000000000e+00	3.107802e-01
1.410000000000000e+00	3.389563e-01
1.510000000000000e+00	3.679010e-01
1.610000000000001e+00	3.976446e-01
1.710000000000001e+00	4.282194e-01
1.810000000000001e+00	4.596598e-01
1.910000000000001e+00	4.920023e-01
2.010000000000001e+00	5.252858e-01
2.110000000000001e+00	5.595518e-01
2.210000000000001e+00	5.948440e-01
2.310000000000001e+00	6.312091e-01
2.410000000000001e+00	6.686967e-01
2.510000000000001e+00	7.073595e-01
2.610000000000001e+00	7.472536e-01
2.710000000000001e+00	7.884387e-01
2.810000000000001e+00	8.309785e-01
2.910000000000001e+00	8.749409e-01
3.010000000000002e+00	9.203985e-01
3.110000000000002e+00	9.674288e-01
3.210000000000002e+00	1.016115e+00
3.310000000000002e+00	1.066546e+00
3.410000000000002e+00	1.118817e+00
3.510000000000002e+00	1.173031e+00
3.610000000000002e+00	1.229298e+00
3.710000000000002e+00	1.287737e+00
3.810000000000002e+00	1.348476e+00
3.910000000000002e+00	1.411653e+00
4.010000000000002e+00	1.477420e+00
4.110000000000002e+00	1.545937e+00
4.210000000000002e+00	1.617381e+00
4.310000000000001e+00	1.691943e+00
4.410000000000001e+00	1.769833e+00
4.510000000000001e+00	1.851277e+00
4.610000000000000e+00	1.936526e+00
4.710000000000000e+00	2.025851e+00
4.810000000000000e+00	2.119552e+00
4.909999999999999e+00	2.217958e+00
5.009999999999999e+00	2.321433e+00
5.109999999999999e+00	2.430379e+00
5.209999999999998e+00	2.545240e+00
5.309999999999998e+00	2.666512e+00
5.409999999999997e+00	2.794747e+00
5.509999999999997e+00	2.930561e+00
5.609999999999997e+00	3.074646e+00
5.709999999999996e+00	3.227780e+00
5.809999999999996e+00	3.390844e+00
5.909999999999996e+00	3.564834e+00
6.009999999999995e+00	3.750885e+00
6.109999999999995e+00	3.950295e+00
6.209999999999995e+00	4.164554e+00
6.309999999999994e+00	4.395377e+00
6.409999999999994e+00	4.644385e+00
6.509999999999994e+00	4.884334e+00
6.609999999999993e+00	5.000859e+00
6.709999999999993e+00	5.013663e+00
6.809999999999993e+00	5.013666e+00
6.909999999999992e+00	5.013669e+00
7.009999999999992e+00	5.013671e+00
7.109999999999991e+00	5.013674e+00
7.209999999999991e+00	5.013677e+00
7.309999999999991e+00	5.013680e+00
7.409999999999990e+00	5.013682e+00
7.509999999999990e+00	5.013685e+00
7.609999999999990e+00	5.013688e+00
7.709999999999989e+00	5.013690e+00
7.809999999999989e+00	5.013692e+00
7.909999999999989e+00	5.013695e+00
8.009999999999989e+00	5.013697e+00
8.109999999999989e+00	5.013700e+00
8.209999999999988e+00	5.013702e+00
8.309999999999988e+00	5.013704e+00
8.409999999999988e+00	5.013706e+00
8.509999999999987e+00	5.013708e+00
8.609999999999987e+00	5.013710e+00
8.709999999999987e+00	5.013712e+00
8.809999999999986e+00	5.013714e+00
8.909999999999986e+00	5.013717e+00
9.009999999999986e+00	5.013719e+00
9.109999999999985e+00	5.013721e+00
9.209999999999985e+00	5.013722e+00
9.309999999999985e+00	5.013724e+00
9.409999999999984e+00	5.013726e+00
9.509999999999984e+00	5.013728e+00
9.609999999999983e+00	5.013730e+00
9.709999999999983e+00	5.013731e+00
9.809999999999983e+00	5.013733e+00
9.909999999999982e+00	5.013735e+00
1.000999999999998e+01	5.013736e+00
1.010999999999998e+01	5.013738e+00
1.020999999999998e+01	5.013740e+00
1.030999999999998e+01	5.013741e+00
